Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
"Colors Of The Wind (From ""Pocahontas"") - Sleepy",7xTjyEO5u6WsQ8CTybjWeg,Slumbering Tapes,6451761,2023-03-03,contemporary,none,none,"classical,ambient",,background piano,melancholic - romantic solo piano ballad featuring a sparkling glockenspiel. well - suited for drama or romance!,piano,balanced,"nostalgic,reflective,delicate,intimate,thoughtful,calm,tender,melancholic,lonely,bittersweet,introspective,emotional,warm,serene,sentimental","romantic,chilled,calm",warm,flowing,low,69,dbMajor,4/4
"Let It Go (From ""Frozen"") - Piano",20JQVHYenxILumG8GFeypA,Slumbering Tapes,5463653,2023-03-03,contemporary,none,none,ambient,,piano,"beautiful, gentle - positive solo piano piece featuring a catchy melody.",piano,balanced,"delicate,tender,intimate,reflective,warm,soft,nostalgic,sentimental,calm,hopeful,emotional,peaceful,graceful,sweet,light,serene,dreamy,innocent,romantic,thoughtful,tranquil","romantic,chilled,calm","warm,sophisticated,sparkling",flowing,low,62,gMajor,4/4
"Remember Me (From ""Coco"") - Piano Version",1fxuCk1P5nP3A63R3J76RL,Slumbering Tapes,4457446,2023-02-10,contemporary,none,none,ambient,,piano,melancholic - romantic solo piano ballad featuring a sparkling glockenspiel.,piano,negative,"nostalgic,reflective,emotional,sentimental,melancholic,delicate,intimate,calm,tender,soft,warm,poignant,thoughtful,lonely,sad,bittersweet,peaceful,introspective,dreamy,serene,romantic,graceful,blue,tranquil,hopeful","romantic,sad,chilled","warm,sophisticated",flowing,low,66,cMajor,4/4
"Cruella De Vil (From ""101 Dalmatians"") - Piano Version",2i0NefBwXvzzAl0kflPgJU,Slumbering Tapes,4087107,2023-02-10,contemporary,none,none,ambient,,background piano,"dreamy - romantic solo piano ballad featuring a catchy, sparkling theme as well as a gentle - pulsating synthbass.",piano,balanced,"reflective,nostalgic,intimate,delicate,calm,tender,peaceful,warm,emotional,sentimental,serene,melancholic,introspective","romantic,calm,chilled",warm,flowing,low,175,gMinor,4/4
"When She Loved Me (From ""Toy Story 2"") - Piano Version",4KxqLZz7uo1jDJrPkUW0bM,Slumbering Tapes,3778826,2023-02-10,contemporary,none,none,ambient,,neo-classical,"dreamy, melancholic - romantic solo piano ballad featuring a sparkling glockenspiel and a gentle synthbass in the second half.",piano,negative,"calm,nostalgic,soft,dreamy,reflective,lonely,intimate,peaceful,delicate,introspective,tranquil,thoughtful,melancholic,emotional,serene,quiet,bittersweet,blue,tender,poignant,warm,sentimental,leisurely,sad,soothing","calm,ethereal,sad","ethereal,sparse,warm,sparkling",flowing,low,93,dbMajor,4/4
"I Won't Say I'm In Love (From ""Hercules"") - Piano Version",7cQ5ZmukwHfYTb6GDJfx3K,Slumbering Tapes,3850377,2023-02-10,contemporary,none,none,ambient,,neo-classical,dreamy and peaceful. piano and synth pad only.,"piano,synth",balanced,"delicate,calm,reflective,serene,peaceful,thoughtful,introspective,warm,dreamy","calm,ethereal,romantic",ethereal,flowing,low,69,cMajor,3/4
"Someday My Prince Will Come (From ""Snow White And The Seven Dwarfs"") - Piano",1PkDxSexqEhSUUr2ao7xLM,Slumbering Tapes,3382321,2023-03-16,contemporary,none,none,ambient,,piano,"sparse, sombre piano chords create a melancholic atmosphere.",piano,negative,"nostalgic,intimate,reflective,melancholic,lonely,soft,calm,emotional,sad,poignant,sentimental,delicate,bittersweet,thoughtful,introspective,blue,tender,peaceful,quiet,warm,serene,mournful,dreamy,tranquil","sad,romantic,calm",sparse,"flowing,steady",low,69,abMajor,3/4
"AEIOU, The Caterpillar Song (From ""Alice In Wonderland"") - Piano Version",49ra2TlFvq7TAxTpijuPYv,Slumbering Tapes,3664729,2023-02-10,contemporary,none,none,ambient,,piano,dreamy and nostalgic. piano solo.,piano,negative,"nostalgic,lonely,calm,reflective,melancholic,soft,intimate,sad,blue,bittersweet,thoughtful,peaceful,poignant,introspective,delicate,emotional,quiet,dreamy,sentimental,mournful,serene,tranquil,leisurely","sad,calm,ethereal","ethereal,sparse,warm","flowing,steady",low,119,dMinor,3/4
"When She Showed Me Love (From ""Toy Story 2"") - Sleepy Version",5vzgZEKkiIJ4S80G5tsR5S,Slumbering Tapes,3539820,2023-02-10,contemporary,none,none,ambient,,piano,"sparse, sombre piano chords create a melancholic atmosphere.","bassGuitar,piano",negative,"reflective,nostalgic,lonely,calm,melancholic,thoughtful,introspective,intimate,bittersweet,dreamy,soft,leisurely,delicate,poignant,blue,sad","sad,romantic,calm","warm,sparse,ethereal",flowing,low,81,fMajor,4/4
"Married Life (From ""Up"") - Sleep",1DFFaGjSlKgUWe8IgC0gpC,Slumbering Tapes,3150010,2023-03-16,contemporary,none,none,ambient,,piano,melancholic - romantic solo piano ballad featuring a sparkling glockenspiel.,piano,balanced,"nostalgic,reflective,calm,intimate,soft,delicate,warm,peaceful,tender,serene,light","romantic,chilled,calm",warm,"flowing,steady",low,93,fMajor,3/4
