Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",3148222178,2018-04-19,contemporary,high,male,"pop,rnb",,"indie, alternative r & b, vapor soul, electropop, indie poptimism, art pop, indie pop, pop","poignant and anthemic. string orchestra, piano and choir.","piano,synth,percussion",balanced,"emotional,serious,passionate,bittersweet,poignant","energetic,dark,epic",epic,"flowing,stomping,pulsing,driving",medium,115,eMinor,4/4
Another Love,3JvKfv6T31zO0ini8iNItO,Tom Odell,2837081598,2013-06-24,late 1990s / early 2000s,high,male,"rock,pop,singerSongwriter","folkRock,indieAlternative,psychedelicProgressiveRock",,upbeat and energetic. refreshing acoustic indie with a bright array of guitars and harmonizing male vocals,"percussion,piano,electricGuitar,acousticGuitar,bassGuitar",balanced,"confident,motivational,determined,passionate,inspirational,anthemic,aweInspiring","energetic,epic",warm,stomping,high,123,gMajor,4/4
The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,2156423191,2002-08-27,early / mid 2000s,high,male,"rock,pop,singerSongwriter","country,folkRock,indieAlternative,popSoftRock",,medium tempo and uplifting acoustic pop rock with male vocals and piano,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"reflective,nostalgic,sentimental,romantic,thoughtful,emotional,bittersweet,quiet,calm,solemn,spiritual","calm,chilled,happy,romantic",warm,flowing,low,147,fMajor,4/4
Heather,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,1907413284,2020-03-20,contemporary,high,male,"folkCountry,pop,rnb",folk,"indie, pop, rock","a slow, haunting indie rock song with a lilting vocal that's just right to you're on top of the home.","acousticGuitar,bassGuitar,piano,synth,percussion",balanced,"emotional,bittersweet,reflective,sad,melancholic,poignant,lonely,thoughtful","romantic,sad,chilled",warm,flowing,medium,92,fMajor,3/4
WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,743051397,2024-05-17,contemporary,high,female,"pop,rnb,rock",,"indie, indie folk, pop, auteur compositeur interprete",a dark and dramatic orchestral hybrid track featuring percussion.,"acousticGuitar,bassGuitar,synth,percussion,electricGuitar",balanced,"emotional,soaring,inspirational,bittersweet,passionate,lonely,serious","energetic,uplifting,calm","epic,cool",flowing,medium,148,aMajor,4/4
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,1906456983,2018-11-16,contemporary,high,female,"pop,funkSoul",neoSoul,,built on a groovy piano riff. featuring rousing handclaps. soulful and friendly chorus led a brass section,"percussion,strings,electricGuitar,bass,bassGuitar",positive,"optimistic,bright,positive,uplifting,motivational,feelGood,confident,inspirational,euphoric","chilled,happy,romantic",cool,"groovy,flowing,bouncy,stomping,pulsing",medium,150,csMinor,4/4
traitor,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,1781068172,2021-05-21,contemporary,high,female,"folkCountry,pop,rnb",country,"indie, alt z, pop, indie electropop",pop ballad with sweet female vocal. break with piano. break and climax. dreamy piano melody. confident and panoramic feel.,"bassGuitar,piano,percussion",positive,"emotional,uplifting,passionate,hopeful,inspirational","romantic,uplifting,happy",epic,"stomping,flowing",medium,75,ebMajor,3/4
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,2760053804,2014-06-21,late 2000s / contemporary,high,male,pop,,,a heartfelt and hopeful beauty of an indie pop ballad,"percussion,strings,acousticGuitar,bass,bassGuitar",balanced,"emotional,hopeful,passionate,inspirational,aweInspiring","chilled,romantic,sad,ethereal",warm,"stomping,flowing",medium,108,eMajor,4/4
Atlantis,1Fid2jjqsHViMX6xNH70hE,Seafret,1005308435,2016-01-29,late 2000s / contemporary,high,male,"pop,rock","indieAlternative,popSoftRock",,a bittersweet emotional number with acoustic guitar drums and melody lines tinged with a hint of regret. this beautiful track is at once somber and hopeful perfectly packaged with,"percussion,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"warm,hopeful,romantic,tender,dreamy","calm,chilled,romantic,sad,ethereal","sparkling,warm",flowing,low,83,bMajor,4/4
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,1648079542,2005-06-07,late 2000s / contemporary,none,none,rock,indieAlternative,,uplifting post rock with beautiful electric guitar slowly rising. confident and emotional. a 4 4,"percussion,electricGuitar,bass,bassGuitar",balanced,"inspirational,uplifting,motivational,aweInspiring,confident,soaring,anthemic,optimistic","energetic,epic,uplifting",epic,stomping,high,141,ebMajor,4/4
i love you,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,1054070576,2019-03-29,contemporary,high,female,"pop,folkCountry",folk,"indie, indie folk, singer songwriter","reflective, and introspective. piano and synth pad.","bassGuitar,piano,strings,synth",negative,"dreamy,emotional,reflective,poignant,lonely,thoughtful,introspective,melancholic,bittersweet,nostalgic,sad","calm,ethereal,sad",ethereal,flowing,low,70,cMajor,4/4
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,The Fray,1329642382,2005-09-13,contemporary,high,male,folkCountry,country,,medium tempo acoustic pop rock with male vocals piano and soaring guitars,"percussion,piano,electricGuitar,acousticGuitar,bass,bassGuitar",balanced,"emotional,solemn,thoughtful,bittersweet,passionate","epic,romantic,sad",warm,flowing,medium,122,bbMajor,4/4
a thousand years,6lanRgr6wXibZr8KgzXxBl,Christina Perri,1828866602,2011-10-18,late 2000s / contemporary,high,female,folkCountry,folk,"indiecoustica, roots worship, acoustic pop, indie","a heartwarming, and tender tale of love.","acousticGuitar,bassGuitar,piano,strings,percussion,electricGuitar",positive,"hopeful,warm,sentimental,uplifting,emotional,reflective,inspirational,tender","chilled,romantic,happy","sparkling,warm",flowing,low,138,bbMajor,3/4
ceilings,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,669768710,2022-04-08,late 2000s / contemporary,high,female,pop,,,a heartfelt and hopeful beauty of an indie pop ballad,"strings,electricGuitar,acousticGuitar,bass,bassGuitar",negative,"thoughtful,reflective,emotional,bittersweet,nostalgic,sad,solemn,spiritual,introspective","calm,chilled,romantic,sad,ethereal","warm,sparkling",flowing,low,148,aMajor,3/4
Falling,1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,1335966956,2019-12-13,early / mid 2000s,high,male,pop,,,stoic and strong piano chords accompany luscious rising strings to a beautiful crescendo,"piano,acousticGuitar,bass",balanced,"determined,passionate,serious,emotional,confident","calm,chilled,romantic,sad,ethereal","cool,sparkling",flowing,low,110,eMajor,4/4
Landslide,5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,785192950,1975-07-11,late 1980s / early 1990s,high,female,folkCountry,folk,,acoustic folk song,acousticGuitar,balanced,"warm,romantic,dreamy,calm,sentimental,tender,reflective,soft,quiet,nostalgic,serene,soothing,loving,intimate,leisurely,tranquil,lyrical,peaceful,graceful,delicate","calm,chilled,happy,romantic","warm,sparkling",flowing,low,158,bbMajor,4/4
Talking to the Moon,1wVuPmvt6AWvTL5W2GJnzZ,Bruno Mars,1599057068,2010-05-11,late 2000s / contemporary,high,male,pop,"indieAlternative,popSoftRock",,emotional and soulful pop with male vocals gospel inspiration. warm guitar arpeggios and panoramic strings. tender and romantic,"percussion,bass,bassGuitar",balanced,"emotional,thoughtful,bittersweet,solemn,sad,reflective,spiritual,nostalgic","chilled,romantic,ethereal",warm,flowing,medium,146,eMajor,4/4
