Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Musical_Era,Voice_Presence,Predominant_Voice_Gender,Genre_Tags,Sub_Genre_Tags,Free Genre,Description,Instrument_Tags,Emotional_Profile,Mood_Tags,Simple_Mood_Tags,Character_Tags,Movement_Tags,Energy,BPM,Key,Meter
"Colors Of The Wind (From ""Pocahontas"") - Sleepy",7xTjyEO5u6WsQ8CTybjWeg,Slumbering Tapes,6451761,2023-03-03,contemporary,none,none,"classical,ambient",,background piano,melancholic - romantic solo piano ballad featuring a sparkling glockenspiel. well - suited for drama or romance!,piano,balanced,"nostalgic,reflective,delicate,intimate,thoughtful,calm,tender,melancholic,lonely,bittersweet,introspective,emotional,warm,serene,sentimental","romantic,chilled,calm",warm,flowing,low,69,dbMajor,4/4
"El Rio (From ""Encanto"") - Soft Piano Version",3tQnxhR3i84jM0Cr2mgdS8,Nikolai Tal,6276357,2022-12-01,contemporary,none,none,ambient,,neo-classical,"a slow, tender solo piano piece with a slightly melancholic melody. well - suited as a score for drama or romance!",piano,negative,"reflective,nostalgic,soft,melancholic,calm,sad,intimate,poignant,lonely,emotional,introspective,bittersweet,sentimental,solemn,peaceful,thoughtful,quiet,tender,serene,delicate,warm,leisurely","calm,romantic,sad","warm,sparse","flowing,steady",low,69,cMinor,4/4
"Let It Go (From ""Frozen"") - Piano",20JQVHYenxILumG8GFeypA,Slumbering Tapes,5463653,2023-03-03,contemporary,none,none,ambient,,piano,"beautiful, gentle - positive solo piano piece featuring a catchy melody.",piano,balanced,"delicate,tender,intimate,reflective,warm,soft,nostalgic,sentimental,calm,hopeful,emotional,peaceful,graceful,sweet,light,serene,dreamy,innocent,romantic,thoughtful,tranquil","romantic,chilled,calm","warm,sophisticated,sparkling",flowing,low,62,gMajor,4/4
"True To Your Heart (From ""Mulan"")",2ft1uQnOtkICEilqtkSqep,Diana Dream,1375797,2023-09-21,contemporary,none,none,ambient,,neo-classical,"beautiful, tender solo piano melody and nostalgic, reflective color create lonely, melancholy atmosphere.",piano,balanced,"soft,nostalgic,calm,intimate,reflective,tender,delicate,warm,sentimental,leisurely,peaceful,emotional,light,dreamy,tranquil,melancholic,serene,hopeful,sweet,quiet,thoughtful,lonely,innocent","romantic,chilled,calm","warm,sparse",flowing,low,69,bbMajor,4/4
"The Place Where Lost Things Go (From ""Mary Poppins Returns"") - Soft Piano Version",5GObV5z0qBYW7Xab0jJEpi,Nikolai Tal,3683621,2022-12-15,contemporary,none,none,ambient,,piano,a heartwarming and emotional theme. nostalgic feeling with piano.,piano,balanced,"reflective,nostalgic,melancholic,intimate,calm,warm,emotional,sentimental,delicate,thoughtful,bittersweet,introspective,poignant,tender,soft","romantic,sad,calm","warm,sophisticated,sparse","flowing,steady",low,66,aMajor,4/4
"All Is Found (From ""Frozen 2"") - Sleep Piano",7IQR5pcc8pzJFyMG0QuBgl,Malou Mellow,3639347,2023-03-22,contemporary,none,none,ambient,,neo-classical,gentle and sentimental solo piano for romance.,piano,balanced,"soft,nostalgic,intimate,calm,reflective,delicate,tender,sentimental,peaceful,warm,emotional,dreamy,serene,melancholic,leisurely,light,tranquil,graceful,quiet","romantic,chilled,calm",warm,flowing,low,69,fMajor,4/4
"Cruella De Vil (From ""101 Dalmatians"") - Piano Version",2i0NefBwXvzzAl0kflPgJU,Slumbering Tapes,4087107,2023-02-10,contemporary,none,none,ambient,,background piano,"dreamy - romantic solo piano ballad featuring a catchy, sparkling theme as well as a gentle - pulsating synthbass.",piano,balanced,"reflective,nostalgic,intimate,delicate,calm,tender,peaceful,warm,emotional,sentimental,serene,melancholic,introspective","romantic,calm,chilled",warm,flowing,low,175,gMinor,4/4
"Someday My Prince Will Come (From ""Snow White And The Seven Dwarfs"") - Piano",1PkDxSexqEhSUUr2ao7xLM,Slumbering Tapes,3382321,2023-03-16,contemporary,none,none,ambient,,piano,"sparse, sombre piano chords create a melancholic atmosphere.",piano,negative,"nostalgic,intimate,reflective,melancholic,lonely,soft,calm,emotional,sad,poignant,sentimental,delicate,bittersweet,thoughtful,introspective,blue,tender,peaceful,quiet,warm,serene,mournful,dreamy,tranquil","sad,romantic,calm",sparse,"flowing,steady",low,69,abMajor,3/4
"Winnie the Pooh (From ""Winnie the Pooh"") - Sleep Piano",61ZKyjQ2a1EXfmGr3T3RPr,Malou Mellow,2083990,2023-03-22,contemporary,none,none,ambient,,neo-classical,"tender, flowing solo piano melody and harmonic arpeggios create a sense of optimism.",piano,balanced,"soft,intimate,nostalgic,tender,reflective,delicate,sweet,sentimental,calm,warm,leisurely,innocent,light,peaceful,dreamy,graceful,hopeful,serene,bright,melancholic,quiet,tranquil","romantic,chilled,calm",warm,flowing,low,66,dMajor,3/4
"Man Or Muppet (From ""The Muppets"") - Soft Piano Version",3JKeBmVFeD53F66LmHDEN0,Nikolai Tal,3713571,2023-02-03,contemporary,none,none,ambient,,"ambient, meditation","a delicate, heartwarming contemporary solo piano track.",piano,negative,"calm,reflective,intimate,dreamy,nostalgic,soft,peaceful,introspective,delicate,melancholic,lonely,serene,tranquil,thoughtful,quiet,warm,tender,bittersweet,emotional,poignant,leisurely,soothing,light","calm,romantic,sad","warm,ethereal,sparse","flowing,steady",low,69,bbMajor,4/4
